Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2009",,,,,,,,,,,,,
State,Area,,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
ALABAMA,Metropolitan Statistical Area,,"3,365,303",,,,,,,,,, 
,,Area actually reporting,98.4%,"16,313",244,"1,104","5,586","9,379","139,955","39,097","91,697","9,161",
,,Estimated total,100.0%,"16,512",247,"1,116","5,642","9,507","141,768","39,611","92,882","9,275",
,Cities outside metropolitan areas,,"607,223",,,,,,,,,,
,,Area actually reporting,99.1%,"3,319",46,255,534,"2,484","26,142","5,709","19,277","1,156",
,,Estimated total,100.0%,"3,348",46,257,539,"2,506","26,375","5,760","19,449","1,166",
,Nonmetropolitan counties,,"736,182",,,,,,,,,,
,,Area actually reporting,99.0%,"1,306",30,130,77,"1,069","9,389","3,431","5,325",633,
,,Estimated total,100.0%,"1,319",30,131,78,"1,080","9,486","3,466","5,380",640,
,State Total,,"4,708,708","21,179",323,"1,504","6,259","13,093","177,629","48,837","117,711","11,081",
,,"Rate per 100,000 inhabitants",,449.8,6.9,31.9,132.9,278.1,"3,772.4","1,037.2","2,499.9",235.3,
ALASKA,Metropolitan Statistical Area,,"343,318",,,,,,,,,,
,,Area actually reporting,100.0%,"2,892",14,351,590,"1,937","12,805","1,932","9,854","1,019",
,Cities outside metropolitan areas,,"122,142",,,,,,,,,,
,,Area actually reporting,92.8%,622,2,88,36,496,"4,107",612,"3,208",287,
,,Estimated total,100.0%,670,2,95,39,534,"4,424",659,"3,456",309,
,Nonmetropolitan counties,,"233,013",,,,,,,,,,
,,Area actually reporting,100.0%,859,6,66,26,761,"3,348","1,006","1,981",361,
,State Total,,"698,473","4,421",22,512,655,"3,232","20,577","3,597","15,291","1,689",
,,"Rate per 100,000 inhabitants",,633.0,3.1,73.3,93.8,462.7,"2,946.0",515.0,"2,189.2",241.8,
ARIZONA,Metropolitan Statistical Area,,"6,125,527",,,,,,,,,,
,,Area actually reporting,99.3%,"23,912",311,"1,574","7,910","14,117","219,512","49,028","146,173","24,311",
,,Estimated total,100.0%,"24,004",312,"1,581","7,933","14,178","220,736","49,303","147,028","24,405",
,Cities outside metropolitan areas, ,"204,955",, ,,,,,,,,
,,Area actually reporting,97.3%,"2,136",33,486,120,"1,497","10,287","2,682","6,446","1,159",
,,Estimated total,100.0%,"2,196",34,500,123,"1,539","10,578","2,758","6,628","1,192",
,Nonmetropolitan counties,,"265,296",,,,,,,,,,
,,Area actually reporting,100.0%,729,8,29,43,649,"3,268","1,351","1,528",389,
,State Total,,"6,595,778","26,929",354,"2,110","8,099","16,366","234,582","53,412","155,184","25,986",
,,"Rate per 100,000 inhabitants",,408.3,5.4,32.0,122.8,248.1,"3,556.5",809.8,"2,352.8",394.0,
ARKANSAS,Metropolitan Statistical Area,,"1,737,722",,,,,,,,,,
,,Area actually reporting,93.7%,"10,485",94,889,"2,099","7,403","73,301","21,827","47,122","4,352",
,,Estimated total,100.0%,"10,875",98,929,"2,121","7,727","75,801","22,888","48,366","4,547",
,Cities outside metropolitan areas,,"502,577",, ,,,,,,,,
,,Area actually reporting ,98.1%,"2,669",41,245,383,"2,000","22,683","7,814","14,023",846,
,,Estimated total,100.0%,"2,721",42,250,390,"2,039","23,123","7,966","14,295",862,
,Nonmetropolitan counties,,"649,151",,,,,,,,,,
