Table 26,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2016",,,,,
State,City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
ALABAMA,Abbeville,"2,608",17,9,8
,Alabaster,"33,040",80,61,19
,Albertville,"21,525",69,45,24
,Andalusia,"9,071",36,25,11
,Anniston,"22,205",107,87,20
,Arab,"8,334",34,26,8
,Ardmore,"1,390",11,7,4
,Ashford,"2,161",6,5,1
,Ashland,"1,974",14,9,5
,Athens,"25,603",59,48,11
,Atmore,"10,021",27,22,5
,Attalla,"5,870",27,22,5
,Auburn,"63,871",116,110,6
,Bay Minette,"9,281",29,22,7
,Bayou La Batre,"2,607",18,13,5
,Boaz,"9,729",35,24,11
,Brewton,"5,441",32,24,8
,Brighton,"2,846",8,4,4
,Brookwood,"1,821",5,5,0
,Brundidge,"1,972",12,7,5
,Butler,"1,781",7,7,0
,Camden,"1,916",8,7,1
,Centre,"3,586",12,11,1
,Centreville,"2,691",6,6,0
,Chatom,"1,227",4,4,0
,Chickasaw,"5,927",26,21,5
,Citronelle,"3,884",12,8,4
,Coaling,"1,646",4,4,0
,Collinsville,"1,971",8,4,4
,Creola,"1,961",9,5,4
,Crossville,"1,845",5,5,0
,Cullman,"15,459",72,51,21
,Dadeville,"3,136",13,12,1
,Daleville,"5,109",27,16,11
,Daphne,"25,564",74,50,24
,Decatur,"55,374",148,133,15
,Demopolis,"7,089",30,24,6
,Dora,"1,947",12,7,5
,Dothan,"69,071",233,161,72
,Douglas,761,4,4,0
,Eclectic,"1,034",8,8,0
,Elba,"3,894",24,14,10
,Enterprise,"28,227",70,52,18
,Eufaula,"12,503",51,31,20
,Evergreen,"3,742",25,19,6
,Fairfield,"10,869",30,21,9
,Fairhope,"19,470",59,36,23
,Falkville,"1,266",10,9,1
,Fayette,"4,465",12,12,0
,Flomaton,"1,405",13,8,5
,Florala,"1,971",3,3,0
,Florence,"40,160",130,105,25
,Foley,"17,639",90,61,29
,Fort Payne,"14,156",43,38,5
,Fultondale,"9,188",33,26,7
,Gardendale,"13,675",41,31,10
,Georgiana,"1,654",13,8,5
,Glencoe,"5,150",8,8,0
,Goodwater,"1,318",8,4,4
,Gordo,"1,675",4,4,0
,Grove Hill,"1,481",5,5,0
,Gulf Shores,"11,340",65,47,18
,Guntersville,"8,421",46,34,12
,Haleyville,"4,072",16,11,5
,Hartford,"2,651",13,8,5
,Hartselle,"14,540",29,28,1
,Headland,"4,778",19,11,8
,Helena,"18,525",27,22,5
,Hoover,"85,601",227,165,62
,Hueytown,"15,632",47,38,9
,Huntsville,"192,587",606,500,106
,Irondale,"12,439",43,35,8
,Jacksons Gap,798,3,3,0
,Killen,979,4,4,0
,Kimberly,"2,931",14,4,10
,Lafayette,"2,989",15,13,2
,Lanett,"6,451",27,25,2
,Level Plains,"2,012",4,4,0
,Lexington,721,4,4,0
,Lincoln,"6,579",19,17,2
,Lineville,"2,306",11,7,4
,Loxley,"1,817",18,13,5
,Luverne,"2,843",16,11,5
,Madison,"47,729",106,80,26
,Maplesville,703,5,5,0
,Mentone,369,1,1,0
,Millbrook,"15,446",42,32,10
,Mobile,"249,921",736,496,240
,Montevallo,"6,716",17,13,4
,Montgomery,"199,565",614,503,111
,Mountain Brook,"20,737",69,56,13
,Mount Vernon,"1,508",6,6,0
,Munford,"1,253",1,1,0
,Napier Field,346,2,2,0
,Northport,"25,045",77,59,18
,Ohatchee,"1,144",3,3,0
,Oneonta,"6,624",20,19,1
,Opelika,"30,180",104,84,20
,Opp,"6,657",30,21,9
,Orange Beach,"5,932",67,47,20
,Oxford,"21,234",72,61,11
,Ozark,"14,679",38,33,5
,Pelham,"23,162",84,69,15
,Phenix City,"38,521",108,84,24
,Pine Hill,910,4,4,0
,Pleasant Grove,"10,293",20,15,5
,Powell,957,1,1,0
,Prattville,"35,698",92,83,9
,Priceville,"3,291",5,5,0
,Prichard,"22,299",53,33,20
,Rainbow City,"9,573",33,23,10
,Rainsville,"5,047",16,12,4
,Ranburne,410,2,2,0
,Red Bay,"3,125",12,8,4
,Roanoke,"5,993",29,22,7
,Robertsdale,"6,019",25,14,11
,Saraland,"13,967",57,40,17
,Sardis City,"1,764",4,4,0
,Scottsboro,"14,711",68,44,24
,Skyline,837,2,1,1
,Snead,844,4,4,0
,Southside,"8,602",19,13,6
,Spanish Fort,"8,312",24,20,4
,Steele,"1,085",3,3,0
,St. Florian,475,2,2,0
,Sumiton,"2,400",15,7,8
,Summerdale,"1,181",7,7,0
,Thomaston,395,1,1,0
,Town Creek,"1,058",3,3,0
,Trinity,"2,170",7,7,0
,Troy,"18,985",78,55,23
,Trussville,"21,229",68,55,13
,Tuscaloosa,"99,925",352,274,78
,Tuskegee,"8,623",28,17,11
,Uniontown,"2,364",9,8,1
,Valley,"9,465",30,28,2
,Vernon,"1,876",8,8,0
,Warrior,"3,204",18,11,7
,Weaver,"3,101",11,8,3
,Wedowee,807,8,8,0
,Wetumpka,"8,280",38,30,8
ALASKA,Anchorage,"299,097",497,356,141
,Bethel,"6,522",19,9,10
,Bristol Bay Borough,870,10,4,6
,Cordova,"2,186",11,6,5
,Craig,"1,256",11,5,6
,Dillingham,"2,419",19,7,12
,Fairbanks,"32,456",43,37,6
,Haines,"2,535",9,4,5
,Homer,"5,613",22,11,11
,Hoonah,757,8,4,4
,Juneau,"32,964",82,50,32
,Kenai,"7,770",26,17,9
,Ketchikan,"8,221",32,20,12
,Klawock,766,4,4,0
,Kodiak,"6,274",39,18,21
,Kotzebue,"3,290",19,11,8
,Nome,"3,846",15,8,7
,North Pole,"2,201",14,13,1
,North Slope Borough,"9,710",74,47,27
,Palmer,"6,959",28,13,15
,Petersburg,"3,162",11,7,4
,Sand Point,"1,080",5,4,1
,Seward,"2,813",23,9,14
,Sitka,"8,836",27,13,14
,Skagway,"1,075",11,4,7
,Soldotna,"4,619",15,13,2
,St. Paul,512,10,4,6
,Unalaska,"4,517",28,12,16
,Valdez,"3,847",19,10,9
,Wasilla,"9,585",52,25,27
,Whittier,213,4,4,0
,Wrangell,"2,380",13,6,7
ARIZONA,Apache Junction,"38,506",87,57,30
,Avondale,"81,605",183,122,61
,Benson,"4,851",20,11,9
,Bisbee,"5,132",14,11,3
,Buckeye,"64,563",112,86,26
,Bullhead City,"39,426",113,71,42
,Camp Verde,"11,213",28,19,9
,Casa Grande,"51,995",97,77,20
,Chandler,"265,922",497,329,168
,Chino Valley,"11,202",30,22,8
,Clarkdale,"4,271",9,8,1
,Clifton,"3,774",11,4,7
,Colorado City,"4,834",10,7,3
,Coolidge,"12,387",43,31,12
,Cottonwood,"11,932",54,31,23
,Douglas,"16,398",40,27,13
,Eagar,"4,863",8,6,2
,El Mirage,"34,376",54,40,14
,Eloy,"17,110",40,26,14
,Flagstaff,"71,179",150,102,48
,Florence,"31,130",37,29,8
,Fredonia,"1,320",3,3,0
,Gilbert,"255,899",341,227,114
,Glendale,"242,938",542,419,123
,Globe,"7,366",22,19,3
,Goodyear,"82,018",132,96,36
,Hayden,993,6,6,0
,Holbrook,"5,012",15,13,2
,Huachuca City,"1,735",12,5,7
,Jerome,458,4,4,0
,Kearny,"2,055",8,3,5
,Kingman,"29,069",71,54,17
,Lake Havasu City,"53,746",103,68,35
,Mammoth,"1,499",5,3,2
,Marana,"42,808",116,88,28
,Maricopa,"49,627",86,65,21
,Mesa,"478,277","1,221",804,417
,Miami,"1,776",10,7,3
,Nogales,"20,143",68,53,15
,Oro Valley,"44,089",128,100,28
,Page,"7,516",28,17,11
,Paradise Valley,"14,155",40,32,8
,Parker,"3,045",13,10,3
,Patagonia,886,3,3,0
,Payson,"15,351",47,26,21
,Peoria,"174,797",275,184,91
,Phoenix,"1,586,611","3,706","2,762",944
,Pima,"2,554",6,6,0
,Pinetop-Lakeside,"4,354",19,14,5
,Prescott,"42,321",81,68,13
